,hands_played,pots_won,amount_won,to_inv,net_win,per_hand,vpip_count,inv_count,vpip,% won,avg_p_size,avg_agg,per_hand_inv,avg_player_num,avg_post_num,p_score,f_score,t_score,r_score
bxzVxotPt/hlM5EQPXp/ug,4927,491.0,6931.72,8128.250000000002,-1196.5300000000016,-0.2428516338542727,867,1822,0.17596914958392532,0.2694840834248079,14.11755600814664,0.10777349299776741,-0.6567124039517023,8.394966511061497,1.885325756038157,0.1018875583519383,0.004059265272985589,0.0012177795818956768,0.0006088897909478384
NKHFTHJu7aJoZqmL8L16iA,4924,745.0,10723.93,15684.87,-4960.9400000000005,-1.0075020308692122,1071,2584,0.21750609260763606,0.288312693498452,14.39453691275168,0.1909017059301381,-1.9198684210526318,5.4579610073111295,1.404549147034931,0.17668562144597888,0.011169780666125102,0.002437043054427295,0.0006092607636068237
uZz0jqZI7KK/oWcXiemvBg,4874,481.0,7329.140000000001,9112.810000000001,-1783.67,-0.36595609355765285,778,1797,0.15962248666393106,0.2676683361157485,15.2372972972973,0.128846942962659,-0.992582081246522,8.406442347148133,1.7472302010668854,0.12289700451374641,0.003282724661469019,0.001436192039392696,0.0012310217480508822
A+wDC24o+sawmDIWBrLthw,4610,803.0,15258.859999999997,18199.95,-2941.090000000004,-0.6379804772234281,1385,2688,0.3004338394793926,0.29873511904761907,19.002316313823158,0.22668112798264642,-1.0941555059523824,5.299783080260304,1.5691973969631237,0.20737527114967463,0.009761388286334056,0.007158351409978308,0.002386117136659436
0xx2I+FfRzMVj7w16FMilQ,4602,741.0,10274.85,11066.599999999999,-791.7499999999982,-0.17204476314645767,940,2309,0.20425901781833986,0.3209181463837159,13.866194331983806,0.17253368100825728,-0.3428973581637064,5.46870925684485,1.2038244241634073,0.16666666666666666,0.002824858757062147,0.0023902651021295088,0.000651890482398957
FGsDyDrcR1oGmGgJKoT95A,4576,321.0,5085.49,5676.19,-590.6999999999998,-0.12908653846153842,623,1543,0.1361451048951049,0.20803629293583928,15.842647975077881,0.051573426573426576,-0.38282566429034337,8.362543706293707,1.9855769230769231,0.04479895104895105,0.004370629370629371,0.0021853146853146855,0.00021853146853146853
29TRvsUIOfCtgBIa9W9tEw,4509,634.0,6091.650000000001,9254.66,-3163.0099999999993,-0.7014881348414281,1167,2029,0.2588157019294744,0.31246919664859535,9.608280757097793,0.15280550011088934,-1.5589009364218824,7.339543135950321,1.6628964293634951,0.14193834553115992,0.005544466622310933,0.00421379463295631,0.0011088933244621868
DSbskv5D5qKxR/MXeY2lfQ,4492,394.0,5268.67,6736.2,-1467.5299999999997,-0.3266985752448797,717,1571,0.15961709706144256,0.2507956715467855,13.372258883248731,0.09372217275155832,-0.9341374920432843,8.390026714158504,1.717720391807658,0.08659839715048975,0.005120213713268032,0.0011130899376669634,0.0008904719501335708
Azrf5TBy22r507pWFoW0BQ,4452,674.0,9717.219999999998,12467.800000000003,-2750.5800000000054,-0.6178301886792464,997,2136,0.22394429469901167,0.3155430711610487,14.417240356083083,0.16442048517520216,-1.287724719101126,5.539083557951482,1.4454177897574123,0.14937106918238993,0.009209344115004492,0.0047169811320754715,0.0011230907457322552
zgJD6C8gfQGO+2Tar20yfw,4429,538.0,6025.91,7270.05,-1244.1400000000003,-0.28090765409799057,1188,1938,0.2682321065703319,0.2776057791537668,11.200576208178438,0.08083088733348386,-0.6419711042311663,8.437118988484986,1.9011063445473018,0.06592910363513209,0.008128245653646421,0.006096184240234816,0.0006773538044705351
ROLP6S9kaoxp9w2XBSEfig,4396,525.0,7507.900000000001,9024.48,-1516.579999999999,-0.3449909008189261,843,1706,0.19176524112829846,0.30773739742086753,14.300761904761906,0.13853503184713375,-0.8889683470105504,8.201774340309372,1.8248407643312101,0.13171064604185623,0.0043221110100090995,0.0018198362147406734,0.0006824385805277526
mYyfwqfleZpc87Qk+Yb+TQ,4382,935.0,15195.639999999998,18797.379999999997,-3601.74,-0.8219397535371976,1278,2297,0.2916476494751255,0.40705267740531126,16.252021390374328,0.2519397535371976,-1.568019155420113,5.969420356001826,1.2934732998630762,0.23733455043359197,0.009356458238247376,0.00433591967138293,0.0009128251939753537
0xwi8WGdnBftzWVsP6tu8Q,4337,2432.0,28385.760000000006,40499.21,-12113.449999999993,-2.7930481899930815,2438,4336,0.5621397279225271,0.5608856088560885,11.671776315789476,0.42633156559833985,-2.79369234317343,2.0,0.7980170624855891,0.4018907078625778,0.015909614941203597,0.005994927369149181,0.002536315425409269
Q2XpvY5wYreBrBFhgu10Cw,4310,659.0,8453.159999999998,11810.37,-3357.2100000000028,-0.7789350348027848,903,2137,0.20951276102088168,0.30837622835751055,12.827253414264034,0.1580046403712297,-1.5709920449227903,5.4988399071925755,1.151276102088167,0.14153132250580047,0.012529002320185615,0.0027842227378190253,0.001160092807424594
qoIZizyRrSWFhTV7ehXVnw,4284,789.0,11814.28,17776.59,-5962.3099999999995,-1.3917623716153127,1703,2499,0.3975256769374416,0.3157262905162065,14.973738910012676,0.14565826330532214,-2.385878351340536,5.606676003734827,1.642390289449113,0.11507936507936507,0.020074696545284782,0.008636788048552755,0.0018674136321195146
CyleavVuhbIcHd9PIhDyFg,4268,447.0,8588.909999999998,10744.729999999998,-2155.8199999999997,-0.5051124648547328,927,1530,0.21719775070290534,0.29215686274509806,19.214563758389257,0.07591377694470477,-1.409032679738562,8.40182755388941,1.92572633552015,0.056232427366447985,0.01218369259606373,0.005623242736644799,0.0018744142455482662
b9sgzA1QbMWfZtsjJ5YpGw,4254,382.0,5345.889999999999,6639.870000000001,-1293.9800000000014,-0.30417959567465946,678,1472,0.15937940761636107,0.2595108695652174,13.994476439790574,0.08627174424071463,-0.879062500000001,8.315467795016454,1.8549600376116595,0.07733897508227551,0.0068171133051245884,0.0021156558533145277,0.0
hww3wo2qdpFMAmN51yf8HA,4236,1651.0,18516.699999999997,23132.89,-4616.190000000002,-1.089752124645893,1858,3616,0.43862134088762983,0.45658185840707965,11.215445184736522,0.3937677053824363,-1.2766012168141598,3.086638338054769,0.8729933899905571,0.3722851746931067,0.014164305949008499,0.004721435316336166,0.0025967894239848914
